Order Date,Sales,Anomaly_IF,Anomaly Type,Possible Business Reason
2015-01-04,304.508,-1,Unusual Sales Drop,Inventory shortage / operational disruption / reduced demand
2015-02-08,968.534,-1,Unusual Sales Drop,Inventory shortage / operational disruption / reduced demand
2015-02-22,224.912,-1,Unusual Sales Drop,Inventory shortage / operational disruption / reduced demand
2015-03-22,37703.665,-1,High Sales Spike,Festival season / promotion / bulk corporate order
2015-07-19,1387.686,-1,Unusual Sales Drop,Inventory shortage / operational disruption / reduced demand
2015-09-13,29959.137,-1,High Sales Spike,Festival season / promotion / bulk corporate order
2016-01-24,358.522,-1,Unusual Sales Drop,Inventory shortage / operational disruption / reduced demand
2017-12-17,25449.8,-1,High Sales Spike,Festival season / promotion / bulk corporate order
2018-11-04,29017.467,-1,High Sales Spike,Festival season / promotion / bulk corporate order
2018-11-18,30572.447,-1,High Sales Spike,Festival season / promotion / bulk corporate order
2018-12-02,35998.9,-1,High Sales Spike,Festival season / promotion / bulk corporate order
